"marka_kodu","tip_kodu","marka_adi","tip_adi","sifir_fiyat_id","eslestirme_yontem","eslestirme_skor","sf_marka_adi","sf_model_adi","sf_versiyon","sf_yakit","sf_vites","sf_guc","sf_liste_fiyati","sf_kampanya_fiyati","sf_scrape_date","updated_at"
"9","1663","AUDI","Q3 SPORTBACK TFSI 1.5 150 S TRONIC","313","fiyat_exact","100","Audi","Q3 Sportback","S line 35 Turbo FSI 150 hp S tronic","Benzin","Otomatik","150","5321132",,"2026-06-16","2026-06-17T19:01:13.33338+00:00"
"9","1662","AUDI","Q3 TFSI 1.5 150 S TRONIC","316","fiyat_exact","100","Audi","Yeni Q3","S-tronic TFSI 110 kW","Benzin","Otomatik","150","5170676",,"2026-06-16","2026-06-17T19:01:13.33338+00:00"
"9","1550","AUDI","Q4 40 E-TRON","338","fiyat_exact","100","Audi","Q4 e-tron","Base 40 e-tron","Elektrik","Otomatik","82","4604572",,"2026-06-16","2026-06-17T19:01:12.822051+00:00"
"9","1647","AUDI","Q4 40 E-TRON SPORTBACK","327","fiyat_exact","100","Audi","Q4 Sportback e-tron","Base 40 e-tron","Elektrik","Otomatik","82","4762300",,"2026-06-16","2026-06-17T19:01:13.232212+00:00"
"9","1621","AUDI","Q4 45 E-TRON","339","fiyat_exact","100","Audi","Q4 e-tron","Base  45 e-tron","Elektrik","Otomatik","82","5717317",,"2026-06-16","2026-06-17T19:01:13.031324+00:00"
"9","1623","AUDI","Q4 45 E-TRON SPORTBACK","328","fiyat_exact","100","Audi","Q4 Sportback e-tron","Base 45 e-tron","Elektrik","Otomatik","82","5895607",,"2026-06-16","2026-06-17T19:01:13.031324+00:00"
"9","1622","AUDI","Q4 55 E-TRON QUATTRO","354","hp_model","47","Audi","Q6 Suv e-tron","Base e-tron 55 quattro","Elektrik","Otomatik","0","9093459",,"2026-06-16","2026-06-17T19:01:13.031324+00:00"
"9","1624","AUDI","Q4 55 E-TRON SPORTBACK QUATTRO",,,,,,,,,,,,,"2026-06-17T19:01:13.031324+00:00"
"9","1653","AUDI","Q5 2.0 TDI QUATTRO 204 STRONIC","321","fiyat_exact","100","Audi","Q5","Base TDI quattro 150 kW S tronic","Dizel","Otomatik","201","9551047",,"2026-06-16","2026-06-17T19:01:13.232212+00:00"
"9","1654","AUDI","Q5 2.0 TFSI QUATTRO 204 STRONIC","320","fiyat_exact","100","Audi","Q5","Base TFSI quattro 150 kW S tronic","Benzin","Otomatik","201","9231259",,"2026-06-16","2026-06-17T19:01:13.232212+00:00"
"9","1655","AUDI","Q5 SPORTBACK 2.0 TDI QUATTRO 204 STRONIC","333","fiyat_exact","100","Audi","Q5 Sportback","Base TDI quattro 150 kW S tronic","Dizel","Otomatik","201","10253155",,"2026-06-16","2026-06-17T19:01:13.232212+00:00"
"9","1656","AUDI","Q5 SPORTBACK 2.0 TFSI QUATTRO 204 STRONIC","332","fiyat_exact","100","Audi","Q5 Sportback","Base TFSI quattro 150 kW S tronic","Benzin","Otomatik","201","9933043",,"2026-06-16","2026-06-17T19:01:13.232212+00:00"
"9","1631","AUDI","Q6 E-TRON QUATTRO",,,,,,,,,,,,,"2026-06-17T19:01:13.031324+00:00"
"9","1632","AUDI","Q6 SPORTBACK E-TRON QUATTRO","348","hp_model","65","Audi","Q6 Sportback e-tron","Base e-tron quattro","Elektrik","Otomatik","0","9326559",,"2026-06-16","2026-06-17T19:01:13.132763+00:00"
"9","1625","AUDI","Q7 S LINE 45 TFSI 265 QUATTRO TIPTRONIC PI","311","fiyat_exact","100","Audi","Q7","S line 45 TFSI quattro tiptronic","Benzin","Otomatik","265","11282146",,"2026-06-16","2026-06-17T19:01:13.031324+00:00"
"9","1456","AUDI","Q7 S LINE 50 TDI 286 QUATTRO TIPTRONIC PI","335","hp_model","111","Audi","A8 L","S Line 50 TDI quattro 286 hp Tiptronic PI","Dizel","Otomatik","286","23810860",,"2026-06-16","2026-06-17T19:01:12.822051+00:00"
"9","1575","AUDI","Q7 S LINE 55 TFSI 340 QUATTRO TIPTRONIC PI","334","hp_model","111","Audi","A8 L","S Line 55 TFSI quattro 340 hp Tiptronic PI","Benzin","Otomatik","340","23810860",,"2026-06-16","2026-06-17T19:01:12.93382+00:00"
"9","1359","AUDI","Q8 3.0 50 TDI QUATTRO (286) TIPTRONIC",,,,,,,,,,,,,"2026-06-17T19:01:12.822051+00:00"
"9","1613","AUDI","Q8 45 TFSI QUATTRO 265 TIPTRONIC PI","314","hp_model","111","Audi","Q8","quattro 45 TFSI 265 hp Tiptronic PI","Benzin","Otomatik","265","13407813",,"2026-06-16","2026-06-17T19:01:12.93382+00:00"
"9","1574","AUDI","Q8 55 TFSI 340 QUATTRO TIPTRONIC",,,,,,,,,,,,,"2026-06-17T19:01:12.93382+00:00"
"9","1659","AUDI","RS E-TRON GT PERFORMANCE QUATTRO FL","345","fiyat_exact","100","Audi","RS E-tron GT","Quattro performance 93.4 kWh (530 BG)","Elektrik","Otomatik","150","16916736",,"2026-06-16","2026-06-17T19:01:13.33338+00:00"
"9","1660","AUDI","RS E-TRON GT QUATTRO FL",,,,,,,,,,,,,"2026-06-17T19:01:13.33338+00:00"
"9","1639","AUDI","RS Q8 4.0 TFSI QUATTRO 641 PERFORMANCE","325","hp_model","103","Audi","RS Q8","Quattro 4.0 Turbo FSI quattro 641 hp","Benzin","Otomatik","641","27268070",,"2026-06-16","2026-06-17T19:01:13.132763+00:00"
"9","1642","AUDI","RS3 SEDAN 2.5 TFSI 400 QUATTRO S TRONIC FL","336","fiyat_exact","100","Audi","Rs 3 Sedan","Quattro TFSI 294 kW S tronic","Benzin","Otomatik","400","11159295",,"2026-06-16","2026-06-17T19:01:13.232212+00:00"
"9","1641","AUDI","RS3 SPORTBACK 2.5TFSI 400 QUATTRO STRONICFL","346","fiyat_exact","100","Audi","RS3 Sportback","Base  TFSI quattro 294 kW S tronic","Benzin","Otomatik",,"10869375",,"2026-06-16","2026-06-17T19:01:13.132763+00:00"
"9","1661","AUDI","S E-TRON GT","355","fiyat_exact","100","Audi","S e-tron GT","Base 435 kW PS quattro","Elektrik","Otomatik","435","13309902",,"2026-06-16","2026-06-17T19:01:13.33338+00:00"
"9","1620","AUDI","S3 SEDAN 2.0 TFSI QUATTRO 333 S TRONIC PI","340","fiyat_exact","100","Audi","S3 Sedan","Quattro 2.0 Turbo FSI 310 hp S tronic","Benzin","Otomatik","310","8346901",,"2026-06-16","2026-06-17T19:01:13.031324+00:00"
"9","1563","AUDI","S3 SPORTBACK 2.0 TFSI QUATTRO 310 S TRONIC","344","fiyat_exact","100","Audi","S3 Sportback","Quattro 2.0 Turbo FSI 310 hp S tronic","Benzin","Otomatik","310","8166627",,"2026-06-16","2026-06-17T19:01:12.822051+00:00"
"9","1651","AUDI","S5 AVANT 3.0 TFSI QUATTRO 367 STRONIC","351","fiyat_exact","100","Audi","S5 Avant","Quattro TFSI 270 kW S tronic","Elektrik","Otomatik","0","15186182",,"2026-06-16","2026-06-17T19:01:13.232212+00:00"
"9","1652","AUDI","S5 SEDAN 3.0 TFSI QUATTRO 367 STRONIC","347","fiyat_exact","100","Audi","S5 Sedan","S tronic TFSI 270 kW S tronic","Mild Hibrit","Otomatik","362","14875142",,"2026-06-16","2026-06-17T19:01:13.232212+00:00"
"9","1566","AUDI","S8 4.0 TFSI QUATTRO 571 TIPTRONIC PI","317","fiyat_exact","100","Audi","S8","Quattro 4.0 Turbo FSI 571 hp Tiptronic PI","Benzin","Otomatik","571","28383974",,"2026-06-16","2026-06-17T19:01:12.822051+00:00"
"558","1030","BENTLEY","BENTAYGA AZURE V8",,,,,,,,,,,,,"2026-06-17T19:01:39.590081+00:00"
"558","1050","BENTLEY","BENTAYGA SPEED 4.0 (650)",,,,,,,,,,,,,"2026-06-17T19:01:39.692305+00:00"
"558","1031","BENTLEY","CONTINENTAL GT AZURE V8",,,,,,,,,,,,,"2026-06-17T19:01:39.692305+00:00"
"558","1040","BENTLEY","CONTINENTAL GT MULLINER",,,,,,,,,,,,,"2026-06-17T19:01:39.692305+00:00"
"558","1044","BENTLEY","CONTINENTAL GT SPEED 4.0 (782)",,,,,,,,,,,,,"2026-06-17T19:01:39.692305+00:00"
"558","1042","BENTLEY","CONTINENTAL GTC MULLINER 4.0 (782)",,,,,,,,,,,,,"2026-06-17T19:01:39.692305+00:00"
"558","1046","BENTLEY","CONTINENTAL GTS 4.0 (680)",,,,,,,,,,,,,"2026-06-17T19:01:39.692305+00:00"
"558","1035","BENTLEY","FLYING SPUR AZURE V8",,,,,,,,,,,,,"2026-06-17T19:01:39.692305+00:00"
