"sifir_id","marka_adi","model_adi","versiyon","yakit","vites","guc_hp","liste_fiyati","kampanya_fiyati","tsb_tip_kodu","tsb_tip_adi","eslestirme","skor"
"985","Peugeot","Boxer Van","L4H3 L4H3 2.2 BlueHDi 180hp MT6 S&S (17 m3)","Dizel","Manuel","180","1885000","0","2397","BOXER VAN L4H3 2.2 BLUEHDI 180 17M3 FL","hp_model","103"
"986","Peugeot","Boxer Van","L4H2 2.2 BlueHDi 180hp EAT8 S&S (15 m3)","Benzin","Otomatik","180","1910000","0","2399","BOXER VAN L4H2 2.2 BLUEHDI 180 15M3 EAT8 FL","fiyat_exact","100"
"987","Peugeot","Boxer Van","L4H2 2.2 BlueHDi 180hp EAT8 S&S (17 m3)","Benzin","Otomatik","180","1975000","0","2399","BOXER VAN L4H2 2.2 BLUEHDI 180 15M3 EAT8 FL","hp_model","103"
"971","Peugeot","E-2008","ALLURE 115kW (156hp)","Elektrik","Otomatik","115","2201500","0","2425","e-2008 ALLURE 115KW FL","fiyat_exact","100"
"972","Peugeot","E-2008","GT 115kW (156hp)","Elektrik","Otomatik","115","2308500","0","2371","e-2008 GT 115KW FL","fiyat_exact","100"
"977","Peugeot","E-208","GT Elektrikli 100kW (136bg)","Elektrik","Otomatik","100","1999500","0","2382","E-208 GT 100KW","fiyat_exact","100"
"981","Peugeot","E-3008","Allure  157kW (210hp)","Elektrik","Otomatik","210","3318000","0","2402","E-3008 ALLURE 157KW (YENI)","fiyat_exact","100"
"982","Peugeot","E-3008","GT  157kW (210hp)","Elektrik","Otomatik","210","3514500","0","2403","E-3008 GT 157 KW (YENI)","fiyat_exact","100"
"978","Peugeot","E-308","GT 115 kW (156hp)","Elektrik","Otomatik","115","2381000","0","2377","E-308 GT 115KW","fiyat_exact","100"
"989","Peugeot","E-5008","Allure  210Hp (157 kW)","Elektrik","Otomatik","157","3502000","0","2424","E-5008 ALLURE 157KW (YENI)","fiyat_exact","100"
"990","Peugeot","E-5008","GT  210Hp (157 kW)","Elektrik","Otomatik","157","3644000","0","2409","E-5008 GT 157KW 210","fiyat_exact","100"
"973","Peugeot","Expert Van","Standart (L2) 1.5 BlueHDi 120hp €6eBIS","Dizel","Manuel","120","1494500","0","2393","EXPERT VAN STANDART L2 1.5 BLUEHDI 120 FL","fiyat_exact","100"
"974","Peugeot","Expert Van","Standart (L2) 2.2 BlueHDi 180hp EAT8 €6eBIS","Dizel","Otomatik","180","1654500","0","2434","EXPERT VAN STANDART L2 2.2 BLUEHDI 180 EAT8","fiyat_exact","100"
"975","Peugeot","Expert Van","Uzun (L3) 2.2 BlueHDi 150hp €6eBIS","Dizel","Manuel","150","1718000","0","2432","EXPERT VAN UZUN L3 2.2 BLUEHDI 150 EAT8","hp_model","95"
"976","Peugeot","Expert Van","Uzun (L3) 2.2 BlueHDi 180hp EAT8 €6eBIS","Dizel","Otomatik","180","1798000","0","2433","EXPERT VAN UZUN L3 2.2 BLUEHDI 180 EAT8","fiyat_exact","100"
"979","Peugeot","Partner Van","Comfort Uzun 1.5 BlueHDi 130hp 6MT","Dizel","Manuel","130","1383000","0","2426","PARTNER VAN UZUN COMFORT 1.5 B.HDI 130 FL","fiyat_exact","100"
"980","Peugeot","Partner Van","Comfort Uzun 1.5 BlueHDi 130hp EAT8","Dizel","Otomatik","130","1480000","0","2388","PARTNER VAN UZUN COMFORT 1.5 B.HDI 130 AT FL","hp_model","95"
"959","Peugeot","Rifter","ALLURE 1.5 BlueHDi 130hp 6MT","Dizel","Manuel","130","1573500","0","2384","RIFTER ALLURE 1.5 BLUEHDI 130 FL","fiyat_exact","100"
"960","Peugeot","Rifter","ALLURE 1.5 BlueHDi 130hp EAT8","Dizel","Otomatik","130","1877000","0","2385","RIFTER ALLURE 1.5 BLUEHDI 130 EAT8 FL","fiyat_exact","100"
"961","Peugeot","Rifter","GT 1.5 BlueHDi 130hp EAT8","Dizel","Otomatik","130","2077000","0","2386","RIFTER GT 1.5 BLUEHDI 130 EAT8 FL","fiyat_exact","100"
"991","Peugeot","Traveller","Allure L3 8+1 2.2 BlueHDi 180hp EAT8 €6eBIS","Dizel","Otomatik","180","2490000","0","2435","TRAVELLER ALLURE L3 8+1 2.2 B.HDI 180 EAT8","fiyat_exact","100"
"995","Renault","Austral","Techno mild hybrid 150 hp auto","Mild Hibrit","Otomatik","160","2699000","0","2321","AUSTRAL TECHNO MILD HYBRID 150 AT FL","fiyat_exact","100"
"996","Renault","Austral","Esprit Alpine mild hybrid 150 hp auto","Mild Hibrit","Otomatik","160","3130000","0","2322","AUSTRAL ESPRIT ALPINE MILD HYBRID 150 AT FL","fiyat_exact","100"
"1035","Renault","Boreal","Evolution  Turbo Tce EDC 145 hp","Benzin","Otomatik","145","2379000","2194000","2313","DUSTER EVOLUTION TURBO TCE EDC 145","hp_model","95"
"1036","Renault","Boreal","Techno  Turbo Tce EDC 145 hp","Benzin","Otomatik","145","2699000","2269000","2321","AUSTRAL TECHNO MILD HYBRID 150 AT FL","fiyat_exact","100"
"1037","Renault","Boreal","İconic Turbo Tce EDC 145 hp","Benzin","Otomatik","145","3049000","2860000","2313","DUSTER EVOLUTION TURBO TCE EDC 145","hp_model","87"
"1034","Renault","Boreal","İconic Full hybrid E-Tech 160 hp","Benzin","Otomatik","160","3399000","0","2315","DUSTER TECHNO F.HYBRID E-TECH 160","hp_model","71"
"1007","Renault","Captur","Techno  Mild hybrid EDC 140 hp","Mild Hibrit","Otomatik","140","2156000","0","2319","CAPTUR TECHNO 1.3 MILD HYBRID EDC 140","fiyat_exact","100"
"992","Renault","Clio","Evolution 1.0 TCe x-tronic 90 hp","Benzin","Otomatik","90","1750000","0",,,"no_match","31"
"993","Renault","Clio","Evolution Plus  TCe 115 EDC","Benzin","Otomatik","115","1830000","0","2324","DUSTER EVOLUTION ECO-G 120","hp_model","43"
"994","Renault","Clio","Esprit Alpine TCe 115 EDC","Benzin","Otomatik","115","2035000","0","2285","KANGOO VAN L2 EQUILIBRE 1.5 BLUEDCI EDC 115","hp_model","36"
"1001","Renault","Duster","Evolution Eco-G 120 hp","Benzin/LPG","Manuel","120","1865000","0","2324","DUSTER EVOLUTION ECO-G 120","fiyat_exact","100"
